ISO28178
ORIGINATOR "ISO TC130"
FILE_DESCRIPTOR "ISO15339-CRPC4"
# ISO/PAS 15339-2 Characterized Reference Printing Condition 4, Typical Supercal
CREATED "2012-12-01"
MEASUREMENT_GEOMETRY "ISO 13655 - Reflection, M1"
FILTER "D50"
SAMPLE_BACKING "White"
# Reference White Point (LAB) = 89.00  0.00  3.00
# Reference Black Point (LAB) = 15.29  0.29  1.34 
NUMBER_OF_FIELDS 8
BEGIN_DATA_FORMAT
SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS 1617
BEGIN_DATA
1	0	0	0	0	89.00	0.00	3.00
2	0	10	0	0	83.63	7.54	1.02
3	0	20	0	0	78.75	14.45	-0.68
4	0	30	0	0	73.98	21.38	-2.12
5	0	40	0	0	69.43	28.14	-3.27
6	0	55	0	0	62.73	38.57	-4.42
7	0	70	0	0	56.42	49.11	-4.52
8	0	85	0	0	50.73	59.25	-3.76
9	0	100	0	0	47.00	66.00	-3.00
10	10	0	0	0	85.02	-4.29	-2.23
11	10	10	0	0	79.97	3.07	-3.93
12	10	20	0	0	75.34	9.85	-5.44
13	10	30	0	0	70.81	16.61	-6.74
14	10	40	0	0	66.52	23.21	-7.76
15	10	55	0	0	60.09	33.39	-8.79
16	10	70	0	0	53.97	43.64	-9.01
17	10	85	0	0	48.34	53.50	-8.55
18	10	100	0	0	44.63	60.18	-8.05
19	20	0	0	0	81.35	-8.21	-7.00
20	20	10	0	0	76.58	-1.04	-8.51
21	20	20	0	0	72.20	5.60	-9.83
22	20	30	0	0	67.91	12.20	-10.97
23	20	40	0	0	63.84	18.62	-11.85
24	20	55	0	0	57.66	28.56	-12.83
25	20	70	0	0	51.67	38.58	-13.16
26	20	85	0	0	46.13	48.21	-12.92
27	20	100	0	0	42.43	54.73	-12.63
28	30	0	0	0	77.75	-12.04	-11.63
29	30	10	0	0	73.25	-5.07	-12.92
30	30	20	0	0	69.11	1.41	-14.05
31	30	30	0	0	65.04	7.85	-15.05
32	30	40	0	0	61.16	14.10	-15.83
33	30	55	0	0	55.23	23.80	-16.75
34	30	70	0	0	49.41	33.57	-17.14
35	30	85	0	0	43.96	42.98	-17.07
36	30	100	0	0	40.31	49.36	-16.91
37	40	0	0	0	74.24	-15.79	-16.04
38	40	10	0	0	70.00	-8.95	-17.09
39	40	20	0	0	66.12	-2.64	-18.03
40	40	30	0	0	62.25	3.64	-18.89
41	40	40	0	0	58.53	9.73	-19.62
42	40	55	0	0	52.84	19.19	-20.43
43	40	70	0	0	47.21	28.73	-20.87
44	40	85	0	0	41.89	37.90	-20.93
45	40	100	0	0	38.33	44.10	-20.80
46	55	0	0	0	69.00	-21.39	-22.41
47	55	10	0	0	65.10	-14.81	-23.20
48	55	20	0	0	61.53	-8.76	-23.95
49	55	30	0	0	57.96	-2.73	-24.62
50	55	40	0	0	54.50	3.12	-25.18
51	55	55	0	0	49.19	12.17	-25.86
52	55	70	0	0	43.87	21.33	-26.31
53	55	85	0	0	38.81	30.06	-26.47
54	55	100	0	0	35.41	35.96	-26.51
55	70	0	0	0	63.79	-26.92	-28.43
56	70	10	0	0	60.17	-20.63	-29.02
57	70	20	0	0	56.87	-14.83	-29.57
58	70	30	0	0	53.58	-9.06	-30.06
59	70	40	0	0	50.38	-3.46	-30.48
60	70	55	0	0	45.46	5.18	-30.99
61	70	70	0	0	40.52	13.87	-31.34
62	70	85	0	0	35.81	22.16	-31.50
63	70	100	0	0	32.63	27.83	-31.57
64	85	0	0	0	58.69	-32.34	-34.06
65	85	10	0	0	55.34	-26.28	-34.43
66	85	20	0	0	52.27	-20.76	-34.82
67	85	30	0	0	49.21	-15.25	-35.18
68	85	40	0	0	46.26	-9.90	-35.46
69	85	55	0	0	41.73	-1.68	-35.78
70	85	70	0	0	37.23	6.48	-35.96
71	85	85	0	0	32.94	14.31	-35.98
72	85	100	0	0	30.00	19.68	-36.02
73	100	0	0	0	55.00	-36.00	-38.00
74	100	10	0	0	51.88	-30.32	-38.24
75	100	20	0	0	48.98	-25.03	-38.46
76	100	30	0	0	46.08	-19.68	-38.71
77	100	40	0	0	43.29	-14.51	-38.91
78	100	55	0	0	39.06	-6.65	-39.09
79	100	70	0	0	34.89	1.14	-39.09
80	100	85	0	0	30.88	8.71	-39.05
81	100	100	0	0	28.00	14.00	-39.00
82	0	0	10	0	88.16	-0.80	11.81
83	0	10	10	0	82.93	6.82	9.30
84	0	20	10	0	78.12	13.84	7.12
85	0	30	10	0	73.46	20.82	5.23
86	0	40	10	0	69.05	27.59	3.79
87	0	55	10	0	62.49	38.07	2.01
88	0	70	10	0	56.31	48.60	1.29
89	0	85	10	0	50.72	58.70	1.39
90	0	100	10	0	47.08	65.53	1.82
91	10	0	10	0	84.19	-5.21	6.48
92	10	10	10	0	79.95	1.64	4.37
93	10	20	10	0	75.27	8.67	2.37
94	10	30	10	0	70.53	15.90	0.54
95	10	40	10	0	65.94	23.06	-0.95
96	10	55	10	0	59.60	33.34	-2.56
97	10	70	10	0	53.70	43.41	-3.28
98	10	85	10	0	48.39	52.92	-3.38
99	10	100	10	0	44.72	59.66	-3.18
100	20	0	10	0	80.53	-9.27	1.58
101	20	10	10	0	76.45	-2.76	-0.50
102	20	20	10	0	72.05	4.09	-2.27
103	20	30	10	0	67.58	11.13	-3.91
104	20	40	10	0	63.23	18.15	-5.27
105	20	55	10	0	57.14	28.21	-6.78
106	20	70	10	0	51.39	38.08	-7.56
107	20	85	10	0	46.15	47.44	-7.83
108	20	100	10	0	42.48	54.10	-7.83
109	30	0	10	0	76.95	-13.26	-3.16
110	30	10	10	0	72.99	-6.96	-5.12
111	30	20	10	0	68.86	-0.35	-6.70
112	30	30	10	0	64.67	6.45	-8.18
113	30	40	10	0	60.53	13.33	-9.41
114	30	55	10	0	54.70	23.14	-10.82
115	30	70	10	0	49.11	32.85	-11.67
116	30	85	10	0	43.96	42.03	-12.08
117	30	100	10	0	40.33	48.58	-12.22
118	40	0	10	0	73.52	-17.13	-7.65
119	40	10	10	0	69.66	-10.98	-9.44
120	40	20	10	0	65.78	-4.57	-10.81
121	40	30	10	0	61.83	2.01	-12.12
122	40	40	10	0	57.89	8.67	-13.30
123	40	55	10	0	52.31	18.28	-14.63
124	40	70	10	0	46.90	27.75	-15.50
125	40	85	10	0	41.86	36.75	-16.02
126	40	100	10	0	38.30	43.17	-16.20
127	55	0	10	0	68.28	-23.09	-14.17
128	55	10	10	0	64.68	-17.05	-15.65
129	55	20	10	0	61.15	-10.91	-16.86
130	55	30	10	0	57.55	-4.67	-17.95
131	55	40	10	0	53.95	1.64	-18.95
132	55	55	10	0	48.67	10.93	-20.20
